Date,Aggregator,Market Real,Crop,Quantity Real,Price,Amount,State
2016-01-12,2287.0,1.0,2,63.0,5.0,315.0,1.0
2016-01-12,2287.0,1.0,6,15.0,20.0,300.0,1.0
2016-11-22,2287.0,1.0,2,50.0,4.0,200.0,1.0
2016-12-06,2287.0,1.0,2,100.0,2.0,200.0,1.0
2017-07-18,3775.0,15.0,5,50.0,10.0,500.0,1.0
2015-12-03,2287.0,1.0,2,90.0,5.5,495.0,1.0
2015-12-06,2287.0,1.0,3,210.0,7.0,1470.0,1.0
2015-12-14,2287.0,1.0,3,370.0,3.5,1295.0,1.0
2015-12-20,2287.0,3.0,3,540.0,4.5,2430.0,1.0
2015-12-25,2287.0,1.0,3,150.0,4.0,600.0,1.0
2015-12-27,2287.0,1.0,3,750.0,8.0,6000.0,1.0
2016-01-01,2287.0,1.0,3,75.0,4.0,300.0,1.0
2016-01-16,2287.0,3.0,3,600.0,2.0,1200.0,1.0
2016-03-27,2287.0,1.0,2,124.0,2.0,248.0,1.0
2015-12-12,2287.0,1.0,2,92.0,6.0,552.0,1.0
2016-03-17,2287.0,1.0,23,450.0,7.0,3150.0,1.0
2016-07-29,2287.0,8.0,39,613.0,32.0,19616.0,1.0
2016-08-01,2287.0,1.0,39,124.0,10.0,1240.0,1.0
2016-08-01,2287.0,1.0,39,20.0,3.0,60.0,1.0
2016-01-03,2287.0,1.0,14,99.0,14.0,1386.0,1.0
2016-08-06,2287.0,1.0,39,150.0,10.0,1500.0,1.0
2016-08-06,2287.0,1.0,39,75.0,5.0,375.0,1.0
2016-08-07,2287.0,1.0,39,560.0,10.0,5600.0,1.0
2016-08-15,2287.0,8.0,39,670.0,12.0,8040.0,1.0
2016-10-07,2287.0,4.0,55,638.0,2.5,1595.0,1.0
2016-11-08,2287.0,8.0,2,368.0,13.0,4784.0,1.0
2016-11-14,2287.0,8.0,3,500.0,9.0,4500.0,1.0
2016-11-29,2287.0,1.0,2,462.0,3.0,1386.0,1.0
2016-12-18,2287.0,3.0,62,800.0,7.0,5600.0,1.0
2015-12-08,2287.0,1.0,7,90.0,7.0,630.0,1.0
2016-09-26,2287.0,1.0,5,28.0,28.0,784.0,1.0
2016-10-03,2287.0,1.0,5,38.0,20.0,760.0,1.0
2016-10-17,2287.0,1.0,5,65.0,17.0,1105.0,1.0
2016-10-23,2287.0,1.0,5,45.0,26.0,1170.0,1.0
2016-10-29,2287.0,1.0,5,32.0,32.0,1024.0,1.0
2016-10-30,2287.0,1.0,5,45.0,35.0,1575.0,1.0
2016-11-06,2287.0,1.0,5,40.0,25.0,1000.0,1.0
2016-11-23,2287.0,1.0,5,113.0,8.0,904.0,1.0
2016-11-24,2287.0,1.0,2,42.0,4.0,168.0,1.0
2016-12-09,2287.0,1.0,5,72.0,10.0,720.0,1.0
2017-04-30,2287.0,1.0,18,9.0,16.0,144.0,1.0
2016-02-11,2287.0,1.0,2,125.0,2.25,281.25,1.0
2016-02-19,2287.0,1.0,2,25.0,2.5,62.5,1.0
2016-02-19,2287.0,1.0,2,54.0,2.0,108.0,1.0
2016-02-22,2287.0,1.0,19,7.0,17.0,119.0,1.0
2016-02-26,2287.0,1.0,2,125.0,3.0,375.0,1.0
2016-03-05,2287.0,1.0,2,180.0,1.5,270.0,1.0
2016-03-05,2287.0,1.0,14,190.0,16.0,3040.0,1.0
2016-03-07,2287.0,1.0,2,215.0,4.0,860.0,1.0
2016-03-15,2287.0,1.0,2,130.0,3.0,390.0,1.0
2016-03-26,2287.0,1.0,2,16.0,4.0,64.0,1.0
2016-03-26,2287.0,1.0,2,15.0,2.0,30.0,1.0
2016-03-26,2287.0,1.0,19,6.0,22.0,132.0,1.0
2016-03-31,2287.0,1.0,2,130.0,3.0,390.0,1.0
2016-05-06,2287.0,1.0,19,5.0,22.0,110.0,1.0
2016-07-26,2287.0,1.0,7,49.0,8.0,392.0,1.0
2016-02-01,2286.0,5.0,4,443.0,1.5,664.5,1.0
2015-11-27,2287.0,1.0,4,63.0,12.0,756.0,1.0
2015-11-29,2287.0,1.0,2,88.0,6.0,528.0,1.0
2015-12-03,2287.0,1.0,2,220.0,5.5,1210.0,1.0
2015-12-05,2287.0,1.0,2,135.0,5.0,675.0,1.0
2015-12-08,2287.0,1.0,2,130.0,5.5,715.0,1.0
2015-12-12,2287.0,1.0,2,95.0,6.0,570.0,1.0
2015-12-26,2287.0,1.0,2,90.0,10.0,900.0,1.0
2015-12-27,2287.0,1.0,2,160.0,10.0,1600.0,1.0
2015-12-29,2287.0,1.0,2,70.0,12.0,840.0,1.0
2016-01-01,2287.0,1.0,2,85.0,10.0,850.0,1.0
2016-01-04,2287.0,1.0,14,110.0,13.0,1430.0,1.0
2016-01-05,2287.0,1.0,14,72.0,13.0,936.0,1.0
2016-01-06,2287.0,1.0,2,83.0,6.0,498.0,1.0
2016-01-12,2287.0,1.0,2,158.0,5.0,790.0,1.0
2016-01-15,2287.0,1.0,2,35.0,4.0,140.0,1.0
2016-01-16,2287.0,1.0,19,7.0,15.0,105.0,1.0
2016-01-24,2287.0,2.0,2,468.0,4.0,1872.0,1.0
2016-09-17,2287.0,1.0,48,45.0,5.0,225.0,1.0
2016-10-13,2287.0,1.0,6,20.0,16.0,320.0,1.0
2016-10-18,2287.0,1.0,6,19.0,20.0,380.0,1.0
2016-10-23,2287.0,1.0,6,9.0,20.0,180.0,1.0
2016-10-29,2287.0,1.0,6,18.0,19.0,342.0,1.0
2016-11-03,2287.0,1.0,2,50.0,12.0,600.0,1.0
2016-11-03,2287.0,1.0,6,25.0,20.0,500.0,1.0
2016-11-09,2287.0,1.0,2,250.0,9.0,2250.0,1.0
2016-11-14,2287.0,1.0,4,15.0,13.0,195.0,1.0
2016-11-15,2287.0,1.0,2,540.0,4.0,2160.0,1.0
2016-11-23,2287.0,1.0,2,95.0,4.25,403.75,1.0
2016-11-22,2287.0,1.0,4,85.0,3.0,255.0,1.0
2016-11-25,2287.0,1.0,2,200.0,4.0,800.0,1.0
2016-11-19,2287.0,1.0,2,200.0,4.0,800.0,1.0
2016-11-21,2287.0,1.0,2,455.0,5.0,2275.0,1.0
2016-11-29,2287.0,1.0,2,387.0,3.0,1161.0,1.0
2016-12-02,2287.0,1.0,2,500.0,2.0,1000.0,1.0
2016-12-09,2287.0,1.0,6,30.0,10.0,300.0,1.0
2016-12-15,2287.0,1.0,2,830.0,3.0,2490.0,1.0
2016-12-18,2287.0,3.0,62,53.0,7.0,371.0,1.0
2016-12-22,2287.0,1.0,10,6.5,15.0,97.5,1.0
2017-01-10,2287.0,3.0,3,55.0,2.0,110.0,1.0
2017-01-10,2287.0,1.0,2,45.0,3.0,135.0,1.0
2017-01-22,2287.0,3.0,2,97.0,6.0,582.0,1.0
2017-01-25,2287.0,1.0,2,100.0,5.0,500.0,1.0
2017-01-18,2287.0,1.0,3,75.0,2.0,150.0,1.0
2017-02-14,2287.0,1.0,10,15.0,10.0,150.0,1.0
2017-02-24,2287.0,1.0,10,17.0,5.0,85.0,1.0
2017-03-04,2287.0,1.0,30,50.0,15.0,750.0,1.0
2017-03-06,2287.0,1.0,30,16.0,15.0,240.0,1.0
2017-03-15,2287.0,1.0,30,41.0,12.0,492.0,1.0
2017-03-11,2287.0,8.0,14,65.0,19.0,1235.0,1.0
2017-03-17,2287.0,1.0,10,25.0,2.0,50.0,1.0
2017-04-09,2287.0,1.0,48,17.0,7.0,119.0,1.0
2017-04-22,2287.0,1.0,48,60.0,6.0,360.0,1.0
2017-04-17,2287.0,1.0,48,30.0,7.0,210.0,1.0
2017-04-16,2287.0,1.0,18,7.0,15.0,105.0,1.0
2017-05-02,2287.0,1.0,48,90.0,3.0,270.0,1.0
2017-05-12,2287.0,1.0,6,20.0,5.0,100.0,1.0
2017-05-15,2287.0,1.0,6,19.0,2.0,38.0,1.0
2017-05-07,2287.0,1.0,6,30.0,5.0,150.0,1.0
2017-05-20,2287.0,1.0,6,60.0,4.0,240.0,1.0
2017-05-22,2287.0,1.0,6,25.0,4.0,100.0,1.0
2017-05-28,2287.0,1.0,6,60.0,2.0,120.0,1.0
2016-02-01,2286.0,5.0,4,443.0,1.5,664.5,1.0
2016-02-21,2286.0,3.0,2,110.0,2.25,247.5,1.0
2016-03-01,2286.0,6.0,2,62.0,3.0,186.0,1.0
2016-03-02,2286.0,2.0,2,86.0,3.0,258.0,1.0
2016-03-07,2286.0,1.0,2,18.0,3.5,63.0,1.0
2015-12-12,2287.0,1.0,2,140.0,6.0,840.0,1.0
2016-01-18,2287.0,1.0,2,21.0,4.0,84.0,1.0
2015-12-19,2287.0,3.0,3,725.0,4.0,2900.0,1.0
2017-04-05,2287.0,1.0,21,345.0,2.0,690.0,1.0
2017-04-09,2287.0,1.0,21,200.0,2.0,400.0,1.0
2017-04-09,2287.0,1.0,21,145.0,1.5,217.5,1.0
2017-04-10,2287.0,1.0,21,210.0,1.0,210.0,1.0
2017-04-13,2287.0,1.0,21,200.0,1.0,200.0,1.0
2017-04-22,2287.0,1.0,21,142.0,0.7,99.4,1.0
2017-04-17,2287.0,1.0,21,350.0,1.0,350.0,1.0
2017-04-26,2287.0,1.0,21,140.0,1.0,140.0,1.0
2017-04-30,2287.0,1.0,21,365.0,1.5,547.5,1.0
2017-05-07,2287.0,1.0,21,80.0,8.0,640.0,1.0
2015-12-10,2287.0,1.0,7,125.0,6.0,750.0,1.0
2016-09-14,2287.0,1.0,5,34.0,39.0,1326.0,1.0
2016-09-20,2287.0,1.0,5,8.0,40.0,320.0,1.0
2016-09-24,2287.0,1.0,5,21.0,40.0,840.0,1.0
2015-12-02,2287.0,1.0,5,75.0,6.0,450.0,1.0
2015-12-03,2287.0,1.0,5,75.0,6.5,487.5,1.0
2015-12-05,2287.0,1.0,4,65.0,5.0,325.0,1.0
2015-12-07,2287.0,1.0,5,30.0,8.0,240.0,1.0
2015-12-07,2287.0,1.0,5,20.0,8.0,160.0,1.0
2016-10-13,2287.0,1.0,5,18.0,19.0,342.0,1.0
2016-10-24,2287.0,1.0,5,53.0,26.0,1378.0,1.0
2016-11-09,2287.0,1.0,5,40.0,24.0,960.0,1.0
2016-11-09,2287.0,1.0,6,11.0,15.5,170.5,1.0
2016-11-12,2287.0,1.0,6,13.0,10.0,130.0,1.0
2016-11-17,2287.0,1.0,3,25.0,10.0,250.0,1.0
2016-11-21,2287.0,1.0,6,15.0,5.0,75.0,1.0
2016-12-02,2287.0,1.0,5,50.0,10.0,500.0,1.0
2016-12-12,2287.0,1.0,6,10.0,15.0,150.0,1.0
2016-12-22,2287.0,1.0,5,41.0,16.0,656.0,1.0
2017-01-12,2287.0,8.0,65,50.0,20.0,1000.0,1.0
2017-01-25,2287.0,1.0,65,75.0,20.0,1500.0,1.0
2017-01-18,2287.0,1.0,10,15.0,11.0,165.0,1.0
2017-03-06,2287.0,1.0,70,70.0,11.0,770.0,1.0
2017-03-19,2287.0,1.0,70,50.0,7.0,350.0,1.0
2017-05-28,2287.0,1.0,16,31.0,7.0,217.0,1.0
2017-06-30,2287.0,1.0,7,200.0,4.5,900.0,1.0
2017-07-03,2287.0,1.0,16,45.0,10.0,450.0,1.0
2017-07-03,2287.0,1.0,7,104.0,5.0,520.0,1.0
2016-02-06,2287.0,1.0,10,40.0,10.0,400.0,1.0
2016-02-17,2287.0,1.0,10,20.0,10.25,205.0,1.0
2016-03-03,2287.0,1.0,10,40.0,10.0,400.0,1.0
2016-03-27,2287.0,1.0,10,40.0,9.0,360.0,1.0
2016-03-27,2287.0,1.0,35,62.0,15.0,930.0,1.0
2015-12-23,2287.0,1.0,10,25.0,23.0,575.0,1.0
2016-08-19,2287.0,1.0,16,30.0,21.0,630.0,1.0
2016-09-04,2287.0,1.0,16,20.0,23.0,460.0,1.0
2016-11-06,2287.0,1.0,34,600.0,4.0,2400.0,1.0
2016-11-16,2287.0,1.0,10,22.0,32.0,704.0,1.0
2017-03-21,2287.0,1.0,10,32.0,3.0,96.0,1.0
2017-06-23,2287.0,1.0,16,80.0,10.0,800.0,1.0
2016-01-09,2287.0,1.0,32,21.0,19.0,399.0,1.0
2016-01-09,2287.0,1.0,5,26.0,20.0,520.0,1.0
2015-12-23,2287.0,1.0,7,48.0,12.0,576.0,1.0
2015-12-23,2287.0,1.0,4,252.0,4.0,1008.0,1.0
2015-12-25,2287.0,1.0,3,255.0,4.0,1020.0,1.0
2015-12-05,2287.0,1.0,4,170.0,12.0,2040.0,1.0
2015-12-07,2287.0,1.0,4,200.0,13.0,2600.0,1.0
2016-01-13,2287.0,1.0,3,245.0,2.0,490.0,1.0
2016-01-15,2287.0,1.0,3,150.0,2.0,300.0,1.0
2016-11-02,2287.0,1.0,3,368.0,12.0,4416.0,1.0
2016-11-17,2287.0,1.0,3,370.0,7.0,2590.0,1.0
2016-02-10,2287.0,1.0,23,200.0,5.0,1000.0,1.0
2016-02-17,2287.0,1.0,29,165.0,7.75,1278.75,1.0
2016-02-19,2287.0,1.0,29,47.5,7.75,368.125,1.0
2016-02-18,2287.0,1.0,29,100.0,8.0,800.0,1.0
2016-01-06,2287.0,1.0,14,113.0,14.0,1582.0,1.0
2016-01-07,2287.0,1.0,14,63.0,14.0,882.0,1.0
2016-02-22,2287.0,1.0,19,7.0,20.0,140.0,1.0
2016-02-22,2287.0,1.0,10,24.0,10.0,240.0,1.0
2017-05-21,3775.0,3.0,2,12.0,12.0,144.0,1.0
2016-02-04,2287.0,1.0,2,67.0,3.0,201.0,1.0
2016-02-19,2287.0,1.0,10,30.0,7.0,210.0,1.0
2016-02-26,2287.0,1.0,2,46.0,4.0,184.0,1.0
2016-03-20,2287.0,1.0,2,60.0,2.0,120.0,1.0
2016-03-21,2287.0,1.0,10,20.0,7.0,140.0,1.0
2015-12-25,2286.0,3.0,2,235.0,9.0,2115.0,1.0
2015-12-29,2286.0,3.0,3,159.0,4.75,755.25,1.0
2015-11-28,2287.0,1.0,2,145.0,6.0,870.0,1.0
2015-12-13,2287.0,1.0,2,130.0,5.5,715.0,1.0
2015-12-20,2287.0,3.0,3,285.0,2.5,712.5,1.0
2015-12-28,2287.0,1.0,3,408.0,5.25,2142.0,1.0
2015-12-10,2287.0,1.0,2,195.0,5.5,1072.5,1.0
2016-09-27,2287.0,1.0,5,75.0,28.0,2100.0,1.0
2016-10-22,2287.0,1.0,5,61.0,25.0,1525.0,1.0
2016-11-08,2287.0,1.0,4,50.0,30.0,1500.0,1.0
2016-11-08,2287.0,1.0,2,58.0,12.0,696.0,1.0
2016-02-07,2287.0,1.0,3,548.0,1.0,548.0,1.0
2016-02-08,2287.0,1.0,14,700.0,13.0,9100.0,1.0
2016-02-08,2287.0,1.0,10,42.0,10.0,420.0,1.0
2016-02-08,2287.0,1.0,2,75.0,8.0,600.0,1.0
2016-02-12,2287.0,1.0,3,865.0,1.0,865.0,1.0
2016-02-12,2287.0,1.0,9,55.0,4.0,220.0,1.0
2016-02-12,2287.0,1.0,4,185.0,1.0,185.0,1.0
2016-02-13,2287.0,1.0,3,285.0,1.0,285.0,1.0
2016-02-13,2287.0,1.0,21,40.0,9.0,360.0,1.0
2016-02-17,2287.0,1.0,3,250.0,1.5,375.0,1.0
2016-02-17,2287.0,1.0,30,165.0,19.25,3176.25,1.0
2016-02-25,2287.0,1.0,30,65.0,16.0,1040.0,1.0
2016-03-05,2287.0,1.0,4,180.0,6.0,1080.0,1.0
2016-03-05,2287.0,1.0,30,45.0,18.0,810.0,1.0
2016-03-05,2287.0,1.0,10,32.0,7.0,224.0,1.0
2016-03-05,2287.0,1.0,32,20.0,8.0,160.0,1.0
2016-03-31,2287.0,1.0,35,190.0,6.0,1140.0,1.0
2016-05-16,2287.0,1.0,22,40.0,15.0,600.0,1.0
2015-12-12,2287.0,1.0,9,30.0,3.0,90.0,1.0
2015-12-14,2287.0,1.0,3,110.0,4.0,440.0,1.0
2016-01-22,2287.0,1.0,3,985.0,1.5,1477.5,1.0
2016-08-11,2287.0,1.0,17,70.0,18.0,1260.0,1.0
2016-08-14,2287.0,1.0,17,78.0,21.0,1638.0,1.0
2016-08-14,2287.0,1.0,16,55.0,18.0,990.0,1.0
2016-08-14,2287.0,1.0,22,20.0,10.0,200.0,1.0
2016-09-17,2287.0,1.0,42,70.0,10.0,700.0,1.0
2016-09-17,2287.0,1.0,17,56.0,24.0,1344.0,1.0
2016-09-22,2287.0,1.0,24,50.0,12.0,600.0,1.0
2016-09-22,2287.0,1.0,42,75.0,11.0,825.0,1.0
2016-01-29,2287.0,2.0,3,610.0,1.5,915.0,1.0
2016-01-30,2287.0,3.0,3,1026.0,1.5,1539.0,1.0
2016-02-19,2287.0,4.0,3,1240.0,1.75,2170.0,1.0
2016-02-24,2287.0,3.0,3,630.0,1.0,630.0,1.0
2016-03-07,2287.0,3.0,3,1215.0,2.0,2430.0,1.0
2016-03-18,2287.0,1.0,4,300.0,4.0,1200.0,1.0
2016-03-18,2287.0,1.0,33,170.0,4.0,680.0,1.0
2016-03-25,2287.0,3.0,3,965.0,1.5,1447.5,1.0
2015-12-30,2286.0,3.0,4,70.0,9.0,630.0,1.0
2016-01-02,2286.0,3.0,3,360.0,3.0,1080.0,1.0
2016-01-03,2286.0,3.0,3,522.0,2.25,1174.5,1.0
2015-12-21,2286.0,3.0,3,590.0,5.25,3097.5,1.0
2015-12-26,2286.0,3.0,3,614.0,5.5,3377.0,1.0
2015-12-19,2287.0,3.0,7,205.0,7.0,1435.0,1.0
2015-12-21,2287.0,3.0,3,973.0,5.0,4865.0,1.0
2015-12-23,2287.0,1.0,3,475.0,5.0,2375.0,1.0
2015-12-26,2287.0,1.0,3,710.0,5.0,3550.0,1.0
2015-12-27,2287.0,1.0,3,614.0,6.0,3684.0,1.0
2015-12-28,2287.0,1.0,3,710.0,5.3,3763.0,1.0
2015-12-31,2287.0,1.0,3,614.0,5.5,3377.0,1.0
2016-01-01,2287.0,1.0,3,176.0,4.0,704.0,1.0
2016-01-02,2287.0,1.0,3,900.0,5.0,4500.0,1.0
2016-01-06,2287.0,3.0,3,146.0,2.0,292.0,1.0
2016-01-12,2287.0,1.0,2,67.0,5.0,335.0,1.0
2016-01-12,2287.0,1.0,10,20.0,14.0,280.0,1.0
2016-01-28,2287.0,2.0,4,610.0,1.5,915.0,1.0
2016-01-29,2287.0,3.0,3,1026.0,1.5,1539.0,1.0
2016-09-25,2287.0,1.0,14,790.0,20.0,15800.0,1.0
2016-11-15,2287.0,1.0,3,900.0,9.0,8100.0,1.0
2016-12-20,2287.0,1.0,3,250.0,5.5,1375.0,1.0
2017-01-05,2287.0,2.0,3,268.0,3.0,804.0,1.0
2017-01-07,2287.0,2.0,3,268.0,3.0,804.0,1.0
2017-01-10,2287.0,2.0,3,537.0,2.25,1208.25,1.0
2017-03-07,2287.0,1.0,21,120.0,6.0,720.0,1.0
2017-03-23,2287.0,1.0,21,150.0,4.0,600.0,1.0
2017-04-04,2287.0,1.0,21,275.0,3.0,825.0,1.0
2017-04-08,2287.0,3.0,21,70.0,3.0,210.0,1.0
2017-04-15,2287.0,1.0,21,466.0,2.0,932.0,1.0
2017-04-21,2287.0,1.0,21,300.0,1.0,300.0,1.0
2017-05-02,2287.0,1.0,21,300.0,1.5,450.0,1.0
2017-05-14,2287.0,1.0,22,80.0,5.0,400.0,1.0
2017-05-27,2287.0,1.0,22,56.0,3.0,168.0,1.0
2015-11-27,2287.0,1.0,5,33.0,5.0,165.0,1.0
2015-11-27,2287.0,1.0,7,54.0,8.0,432.0,1.0
2015-11-29,2287.0,1.0,5,28.0,5.0,140.0,1.0
2015-11-30,2287.0,1.0,7,65.0,8.0,520.0,1.0
2016-01-05,2287.0,1.0,7,15.0,5.0,75.0,1.0
2016-06-20,2287.0,1.0,16,107.0,14.5,1551.5,1.0
2016-06-26,2287.0,1.0,16,80.0,15.0,1200.0,1.0
2016-06-28,2287.0,1.0,16,160.0,14.0,2240.0,1.0
2016-07-06,2287.0,1.0,16,303.0,10.0,3030.0,1.0
2016-07-11,2287.0,1.0,18,33.0,25.0,825.0,1.0
2016-07-04,2287.0,1.0,16,215.0,17.0,3655.0,1.0
2016-07-11,2287.0,1.0,16,186.0,16.0,2976.0,1.0
2016-07-16,2287.0,1.0,16,192.0,19.0,3648.0,1.0
