Date,Market Real,Crop,Deviation
7/12/2017,15,38,8.198373822
6/7/2017,12,4,8.082903769
8/12/2017,22,7,8.082903769
5/22/2017,7,2,8.082903769
8/19/2017,22,2,8.056053624
6/22/2017,22,82,8.020806277
7/12/2017,15,37,7.919595949
4/10/2017,22,1,7.895146188
6/27/2017,22,48,7.858116823
10/29/2016,3,4,7.857056277
8/8/2017,22,2,7.833494518
8/14/2017,22,2,7.804912983
9/21/2016,4,17,7.801098824
8/7/2017,22,82,7.778174593
10/26/2016,1,9,7.778174593
6/4/2017,1,82,7.778174593
8/15/2017,9,18,7.778174593
7/26/2017,63,5,7.778174593
10/28/2016,1,9,7.778174593
7/28/2017,22,2,7.668115805
5/7/2017,3,9,7.602631124
4/9/2017,1,17,7.590721153
7/22/2017,22,2,7.554248253
7/24/2017,22,9,7.549834435
9/28/2016,7,4,7.527726527
8/20/2016,4,17,7.505553499
7/19/2017,63,17,7.505553499
9/12/2016,1,4,7.505553499
10/5/2016,7,6,7.409172243
4/14/2017,22,22,7.305249254
8/12/2017,22,2,7.259093913
9/11/2016,8,5,7.230337321
8/17/2017,22,82,7.195677715
6/16/2017,22,82,7.184087354
6/18/2017,22,82,7.151423435
10/31/2016,3,4,7.143372997
6/13/2017,22,2,7.071067812
4/7/2017,8,17,7.071067812
8/4/2017,8,46,7.071067812
10/14/2016,3,6,7.071067812
10/25/2016,1,18,7.071067812
9/17/2016,3,4,7.071067812
8/14/2016,3,6,7.071067812
4/6/2017,8,17,7.071067812
6/13/2017,1,82,7.071067812
2/10/2017,22,2,7.071067812
8/30/2016,3,6,7.071067812
11/11/2016,1,43,7.071067812
5/25/2017,8,77,7.071067812
6/22/2017,8,21,7.071067812
6/22/2017,3,2,7.071067812
10/12/2016,3,17,7.071067812
6/8/2017,1,82,7.071067812
5/28/2017,57,17,7.071067812
8/14/2017,22,82,7.016986193
8/5/2017,7,17,7
11/5/2016,1,4,6.968039282
8/19/2017,22,82,6.957010852
11/3/2016,1,2,6.92820323
5/18/2017,7,2,6.92820323
7/29/2017,7,82,6.92820323
8/10/2017,1,17,6.916594951
6/17/2017,22,9,6.894291117
10/5/2016,7,2,6.823977335
7/25/2017,22,2,6.821381825
6/17/2017,22,82,6.776732778
11/4/2016,1,2,6.740072064
7/19/2017,9,16,6.734771181
7/24/2017,22,2,6.705718952
6/7/2017,13,38,6.697263123
7/23/2017,3,2,6.693280212
11/5/2016,1,2,6.674846173
8/13/2017,22,2,6.670832032
8/20/2016,1,16,6.658328118
7/25/2017,60,22,6.648308055
4/29/2017,9,6,6.645800679
5/4/2017,22,2,6.608075867
7/11/2017,9,17,6.546536707
6/17/2017,9,18,6.506407099
6/21/2017,3,6,6.5
10/25/2016,3,4,6.489735485
8/16/2017,22,2,6.429100507
11/27/2016,3,40,6.429100507
4/15/2017,4,1,6.377042157
7/23/2017,9,6,6.377042157
7/9/2017,3,18,6.363961031
5/10/2017,3,16,6.363961031
6/3/2017,8,5,6.363961031
9/22/2016,3,4,6.363961031
7/26/2017,63,2,6.363961031
6/19/2017,1,82,6.363961031
7/17/2017,63,20,6.363961031
11/4/2016,1,4,6.363961031
8/10/2017,9,18,6.363961031
7/23/2017,9,5,6.363961031
6/2/2017,30,82,6.363961031
5/26/2017,1,17,6.363961031
6/19/2017,22,9,6.363961031
6/17/2017,1,82,6.363961031
11/1/2016,1,17,6.363961031
6/15/2017,1,82,6.363961031
6/6/2017,1,82,6.363961031
5/3/2017,3,16,6.363961031
7/26/2017,7,82,6.363961031
7/18/2017,23,82,6.350852961
7/26/2017,4,18,6.350852961
7/17/2017,9,16,6.340346994
11/6/2016,3,5,6.340346994
7/19/2017,22,2,6.337717781
8/17/2017,8,17,6.31964465
10/13/2016,3,17,6.260990337
7/29/2017,9,6,6.256425269
7/20/2017,20,82,6.254775953
10/22/2016,3,9,6.184658438
10/7/2016,3,4,6.16801787
6/13/2017,22,82,6.155959172
7/6/2017,15,38,6.137171172
7/5/2017,15,38,6.13
11/3/2016,3,4,6.110100927
11/2/2016,1,4,6.099180273
8/16/2016,1,17,6.08276253
9/28/2016,7,6,6.08276253
7/27/2017,60,22,6.075908711
5/26/2017,7,2,6.062177826
10/29/2016,1,4,6.057757718
8/26/2016,4,17,6.047431568
11/1/2016,3,4,6.027713773
7/17/2017,23,82,6.024948133
5/17/2017,22,50,6
5/11/2017,3,17,5.986592162
9/21/2016,3,4,5.972157622
8/2/2017,3,17,5.959458995
8/20/2017,22,9,5.955389716
9/25/2016,3,4,5.913261931
8/22/2016,3,17,5.909032634
7/18/2017,22,20,5.888355226
8/9/2016,3,6,5.859465277
7/31/2017,9,5,5.859465277
7/31/2017,9,18,5.856620186
6/7/2017,12,38,5.852349955
6/15/2017,22,82,5.851802265
7/14/2017,60,17,5.848076607
10/27/2016,3,4,5.825452552
7/27/2016,3,17,5.822370651
7/27/2017,22,2,5.787918451
5/7/2017,22,2,5.787918451
10/13/2016,3,2,5.785861256
6/9/2017,22,43,5.776388722
7/21/2017,22,45,5.773502692
8/10/2017,9,5,5.773502692
7/19/2017,22,9,5.773502692
7/23/2017,1,82,5.773502692
3/22/2017,27,23,5.773502692
6/14/2017,22,82,5.766281297
8/23/2016,1,17,5.756595596
5/27/2017,7,2,5.75
7/26/2017,22,2,5.744562647
11/26/2016,3,63,5.715476066
7/22/2017,3,6,5.700877126
9/22/2016,1,4,5.700877126
7/21/2017,3,6,5.696977756
8/7/2017,22,2,5.686240703
8/4/2017,9,18,5.686240703
7/16/2017,23,82,5.683308895
7/13/2017,15,37,5.67
10/13/2016,1,17,5.656854249
10/15/2016,1,16,5.656854249
6/11/2017,1,82,5.656854249
7/23/2017,3,20,5.656854249
6/9/2017,9,18,5.656854249
7/18/2017,3,2,5.656854249
5/23/2017,22,22,5.656854249
6/30/2017,22,2,5.656854249
6/9/2017,1,82,5.656854249
7/30/2017,8,82,5.656854249
10/10/2016,1,18,5.656854249
4/27/2017,22,2,5.656854249
9/11/2016,3,6,5.656854249
8/29/2016,4,16,5.656854249
6/1/2017,8,5,5.656854249
6/16/2017,1,82,5.656854249
6/5/2017,1,82,5.656854249
7/24/2017,22,18,5.656854249
9/21/2016,3,6,5.656854249
7/12/2017,60,17,5.656854249
7/20/2017,63,20,5.656854249
7/9/2017,22,41,5.656854249
7/17/2017,1,22,5.656854249
7/16/2017,63,5,5.656854249
4/30/2017,3,82,5.656854249
10/28/2016,3,6,5.656854249
7/20/2017,22,45,5.656854249
7/28/2017,1,5,5.656854249
4/18/2017,8,1,5.656854249
9/9/2016,3,6,5.656854249
6/23/2017,3,9,5.656854249
7/27/2017,60,2,5.656854249
9/10/2016,3,6,5.656854249
8/6/2016,1,9,5.656854249
6/2/2017,1,82,5.656854249
12/11/2016,3,4,5.656854249
3/22/2017,8,30,5.656854249
8/20/2016,7,2,5.656854249
8/10/2017,8,82,5.656854249
7/20/2017,60,20,5.656854249
3/21/2017,9,6,5.656854249
8/5/2017,3,17,5.648430039
11/2/2016,3,4,5.634713835
9/29/2016,3,4,5.632024234
7/9/2017,15,37,5.615
7/20/2017,63,5,5.567764363
8/19/2017,22,7,5.507570547
6/20/2017,8,39,5.507570547
7/23/2017,7,17,5.507570547
7/22/2017,7,82,5.5
8/6/2017,8,6,5.5
5/15/2017,7,2,5.5
8/3/2017,12,2,5.475595206
8/16/2016,1,2,5.452445934
7/14/2017,4,1,5.449770637
4/15/2017,22,22,5.446711546
8/16/2017,22,20,5.43241301
7/21/2017,9,16,5.412642912
7/26/2017,1,6,5.407226206
10/14/2016,3,17,5.394032651
10/23/2016,1,4,5.377421935
8/18/2017,9,16,5.371884479
6/11/2017,22,82,5.351902199
6/12/2017,22,82,5.314894737
5/10/2016,1,6,5.303300859
6/29/2017,3,18,5.291502622
10/16/2016,1,6,5.291502622
10/22/2016,3,17,5.274104329
2/13/2017,22,2,5.267826876
1/17/2017,3,4,5.263078947
7/22/2017,3,2,5.255382728
8/18/2017,3,17,5.2030211
9/27/2016,3,4,5.2030211
10/18/2016,3,17,5.198824653
7/25/2017,60,17,5.196152423
8/19/2017,22,20,5.196152423
7/24/2017,22,45,5.196152423
7/3/2017,23,82,5.188127472
10/13/2016,3,4,5.167204273
7/15/2017,23,82,5.128352562
7/16/2017,3,6,5.125101625
8/9/2017,3,17,5.122313465
10/14/2016,3,4,5.100108931
6/5/2017,22,46,5.099019514
11/9/2016,1,4,5.092010549
7/1/2017,22,2,5.074445783
6/10/2017,30,82,5.066228051
10/26/2016,3,14,5.066228051
7/6/2017,22,2,5.057996969
4/27/2017,3,17,5.049752469
4/27/2017,9,6,5.049752469
9/7/2016,1,17,5.047394424
7/12/2017,22,2,5.038738819
10/18/2016,3,4,5.033222957
8/2/2017,4,1,5.033222957
3/22/2016,1,6,5.033222957
9/3/2016,1,2,5.033222957
9/22/2016,1,6,5.033222957
8/27/2016,1,2,5.019960159
3/2/2017,1,30,5.01220732
7/22/2017,22,18,5
7/20/2017,22,9,5
6/18/2017,1,82,5
7/21/2017,9,6,5
10/24/2016,3,4,5
7/23/2017,22,9,5
5/30/2017,9,18,5
11/3/2016,3,6,5
10/31/2016,1,4,5
7/22/2017,22,45,4.979959839
8/4/2017,8,1,4.978525312
10/18/2016,3,2,4.971980313
10/8/2016,1,6,4.969909456
4/6/2017,1,17,4.969909456
4/29/2017,3,21,4.969909456
4/29/2017,22,2,4.966554809
8/20/2017,22,82,4.966554809
8/7/2017,9,1,4.949747468
6/28/2017,1,82,4.949747468
8/18/2017,9,2,4.949747468
3/30/2017,4,70,4.949747468
8/27/2016,1,14,4.949747468
5/11/2017,3,1,4.949747468
5/11/2016,1,6,4.949747468
8/1/2016,1,39,4.949747468
8/16/2017,1,20,4.949747468
5/1/2017,22,82,4.949747468
7/16/2017,3,16,4.949747468
5/21/2017,22,18,4.949747468
8/6/2016,1,2,4.949747468
9/18/2016,4,53,4.949747468
9/8/2016,4,53,4.949747468
7/22/2017,9,18,4.949747468
7/21/2017,22,50,4.949747468
7/28/2017,63,2,4.949747468
6/10/2017,1,82,4.949747468
9/11/2016,4,53,4.949747468
7/19/2017,9,5,4.949747468
6/29/2017,1,82,4.949747468
7/5/2017,60,2,4.949747468
6/30/2017,1,82,4.949747468
7/3/2016,3,6,4.949747468
4/12/2017,9,22,4.949747468
3/7/2017,1,10,4.949747468
6/26/2017,22,82,4.949747468
3/24/2017,9,6,4.949747468
5/29/2017,22,82,4.946775539
9/14/2016,3,6,4.932882862
10/16/2016,1,17,4.932882862
2/4/2017,4,6,4.932882862
7/31/2017,7,17,4.929503018
3/29/2017,4,70,4.928053803
5/1/2017,3,17,4.924428901
7/31/2017,4,1,4.924428901
7/2/2017,22,48,4.923220007
2/20/2017,1,30,4.919545007
8/17/2017,22,20,4.915960401
6/4/2017,22,82,4.91036252
10/16/2016,4,17,4.879500365
7/29/2017,4,1,4.878524367
9/22/2016,1,17,4.870967641
7/23/2017,3,6,4.869731585
6/10/2017,22,82,4.849828176
4/28/2017,3,17,4.848825746
7/25/2017,9,16,4.847679857
7/26/2016,7,17,4.844866074
6/16/2017,15,37,4.843681451
7/19/2017,4,6,4.810702354
6/7/2017,3,81,4.795831523
6/4/2017,4,3,4.795831523
10/26/2016,3,17,4.787135539
11/15/2016,3,5,4.780914437
2/5/2017,4,6,4.772970773
6/7/2017,22,82,4.760952286
5/11/2017,12,37,4.74341649
6/8/2017,22,82,4.742914515
6/23/2017,22,2,4.725815626
6/21/2017,1,82,4.725815626
9/30/2016,3,2,4.725815626
3/16/2017,1,30,4.725815626
6/22/2017,1,82,4.725815626
10/30/2016,1,2,4.722287581
7/16/2017,63,17,4.722287581
9/28/2016,3,4,4.708148964
8/10/2017,3,17,4.708148964
5/30/2017,22,82,4.700644542
7/20/2017,4,1,4.680252333
5/5/2017,9,21,4.678772178
7/13/2017,9,6,4.673252156
8/12/2017,3,17,4.665476039
7/19/2017,9,6,4.663689527
5/7/2017,22,48,4.636809248
11/1/2016,1,4,4.630814663
7/23/2016,1,17,4.629614815
7/6/2017,22,48,4.622409184
10/5/2016,1,6,4.618802154
8/7/2017,3,2,4.618802154
3/15/2017,3,30,4.618802154
5/18/2017,12,37,4.618802154
7/3/2017,22,48,4.618802154
8/27/2016,1,5,4.618802154
7/16/2017,22,20,4.59897763
12/29/2015,1,5,4.596194078
10/9/2016,3,4,4.595891885
5/5/2017,9,17,4.592357084
6/24/2017,1,82,4.582575695
5/17/2017,22,2,4.573474245
4/18/2017,9,17,4.573474245
5/9/2017,8,17,4.573474245
1/17/2017,3,5,4.571196051
5/25/2017,22,82,4.567548577
9/30/2016,3,4,4.558264777
6/6/2017,22,82,4.550881927
6/18/2017,1,17,4.549725266
7/15/2017,9,6,4.549114688
5/26/2017,30,82,4.548879828
11/23/2016,3,14,4.546060566
9/15/2016,3,17,4.533604684
5/1/2017,1,17,4.527692569
8/1/2017,8,1,4.521553322
8/10/2017,8,6,4.509249753
10/20/2016,1,2,4.509249753
7/24/2016,1,16,4.5
4/11/2017,3,17,4.5
2/20/2017,4,6,4.5
2/27/2017,1,30,4.491291941
9/4/2016,4,17,4.490393787
8/11/2017,22,20,4.488079449
6/11/2017,12,4,4.483056993
9/9/2016,4,53,4.472135955
1/4/2017,4,10,4.472135955
7/20/2017,4,2,4.448356864
11/8/2016,3,4,4.445631155
5/28/2017,12,37,4.440630586
8/14/2017,22,1,4.439226371
10/27/2016,3,17,4.432026302
7/27/2016,3,18,4.425306016
7/28/2017,63,22,4.413306326
10/21/2016,3,4,4.40778532
3/20/2017,22,21,4.391911758
8/16/2017,9,6,4.391911758
9/1/2016,4,17,4.391550328
8/18/2017,22,82,4.38178046
11/1/2016,3,2,4.38178046
8/31/2016,4,17,4.376706017
5/2/2017,22,48,4.358898944
7/26/2017,3,16,4.358898944
7/23/2017,3,42,4.358898944
9/28/2016,3,17,4.358898944
7/19/2017,9,22,4.358898944
8/23/2016,1,2,4.358898944
5/10/2017,9,6,4.358055422
6/3/2017,9,17,4.355073669
8/22/2016,1,5,4.34932945
8/10/2017,22,9,4.348623497
8/19/2016,1,2,4.342481187
8/10/2017,22,20,4.33699479
11/3/2016,1,4,4.334248988
11/23/2016,1,4,4.331570154
11/13/2016,3,4,4.309458037
6/1/2017,22,48,4.308421985
6/18/2017,8,39,4.277849927
8/17/2017,8,18,4.273952113
10/12/2016,3,2,4.270608298
3/28/2017,4,70,4.269562819
11/12/2016,3,17,4.242640687
3/12/2017,9,4,4.242640687
4/26/2017,22,2,4.242640687
4/29/2017,8,1,4.242640687
11/4/2016,1,5,4.242640687
7/20/2017,60,17,4.242640687
12/24/2015,1,3,4.242640687
5/14/2017,22,50,4.242640687
5/31/2017,1,82,4.242640687
7/16/2017,3,2,4.242640687
7/13/2017,22,45,4.242640687
5/10/2017,12,37,4.242640687
2/15/2017,4,6,4.242640687
9/10/2016,1,2,4.242640687
3/6/2017,22,2,4.242640687
8/3/2017,8,82,4.242640687
5/13/2017,8,22,4.242640687
12/12/2016,3,4,4.242640687
7/25/2017,9,22,4.242640687
8/1/2017,8,14,4.242640687
7/7/2017,22,5,4.242640687
8/1/2017,9,6,4.242640687
7/25/2017,8,6,4.242640687
7/1/2017,22,5,4.242640687
7/4/2017,22,50,4.242640687
7/22/2017,63,50,4.242640687
7/25/2017,60,2,4.242640687
5/2/2016,1,6,4.242640687
8/18/2017,9,42,4.242640687
5/20/2017,1,6,4.242640687
10/2/2016,1,4,4.242640687
3/9/2016,1,6,4.242640687
3/26/2017,9,6,4.242640687
6/12/2017,1,21,4.242640687
6/19/2016,1,43,4.242640687
7/24/2017,63,5,4.242640687
7/3/2017,1,82,4.242640687
4/11/2017,9,22,4.242640687
6/19/2016,3,42,4.242640687
5/26/2017,14,38,4.219603182
10/16/2016,3,2,4.219004622
8/6/2017,3,2,4.183300133
6/27/2016,1,21,4.183300133
2/3/2017,4,6,4.163331999
10/20/2016,1,6,4.163331999
7/19/2017,3,2,4.163331999
8/3/2017,9,5,4.163331999
5/12/2017,8,82,4.163331999
7/1/2017,12,37,4.150716806
6/28/2017,3,18,4.147288271
7/29/2017,22,20,4.147288271
6/16/2017,4,2,4.143267632
8/21/2016,4,17,4.126568966
5/9/2017,8,22,4.123105626
8/13/2017,3,16,4.123105626
5/28/2017,30,82,4.123105626
10/27/2016,1,4,4.123105626
8/19/2017,3,17,4.123105626
8/28/2016,3,6,4.117326918
7/27/2017,60,17,4.11298756
6/1/2017,22,82,4.105745104
4/30/2017,3,6,4.098780306
5/10/2017,3,17,4.087922591
11/8/2016,1,6,4.086563348
7/1/2017,9,17,4.08430887
6/27/2017,9,21,4.082482905
5/10/2017,9,16,4.075053448
12/6/2016,3,4,4.070801957
7/16/2017,63,20,4.070217029
7/18/2017,3,6,4.06143301
6/10/2017,4,2,4.049691346
7/12/2017,8,82,4.041451884
5/3/2017,8,17,4.041451884
5/19/2017,1,6,4.041451884
7/24/2017,3,16,4.041451884
8/3/2017,12,17,4.041451884
10/22/2016,3,14,4.041451884
3/1/2017,23,30,4.041451884
7/4/2017,22,2,4.041451884
6/27/2017,8,6,4.041451884
7/26/2016,3,17,4.041451884
10/29/2016,1,17,4.041451884
5/27/2017,7,17,4.041451884
6/25/2017,8,6,4.041451884
6/23/2017,8,6,4.041451884
5/5/2017,22,2,4.041451884
12/5/2015,1,4,4.041451884
10/1/2016,7,4,4.041451884
7/3/2017,9,82,4.037325848
5/31/2017,23,82,4.035556255
7/26/2017,22,20,4.033343172
4/26/2017,26,6,4.031128874
1/20/2017,3,30,4.031128874
6/12/2017,4,2,4.029061098
6/13/2017,4,2,4.027681991
11/12/2016,3,4,4.012800033
10/2/2016,3,17,4.003203845
7/20/2017,60,22,4
10/4/2016,8,5,4
2/17/2017,4,6,3.984692934
5/25/2017,30,82,3.979860012
5/7/2017,9,6,3.977961265
8/19/2017,22,1,3.970726214
4/29/2017,4,6,3.969939126
6/6/2017,4,1,3.968626967
6/2/2017,22,82,3.967819268
11/9/2016,3,4,3.962322551
5/4/2017,8,17,3.962322551
5/28/2017,22,82,3.952219589
5/5/2017,9,6,3.951089864
10/31/2016,3,2,3.949683532
5/30/2017,30,82,3.937003937
8/6/2017,9,6,3.923956664
7/30/2017,22,20,3.91964748
9/23/2016,3,17,3.918211448
11/8/2016,3,2,3.914158265
5/23/2017,4,3,3.911521443
8/21/2016,3,17,3.90969491
7/27/2017,9,16,3.905124838
11/10/2016,3,17,3.902456491
7/29/2017,3,6,3.901709027
7/19/2017,3,17,3.900142448
10/30/2016,3,2,3.898717738
10/29/2016,1,2,3.898005188
10/15/2016,3,4,3.894440482
3/31/2017,4,70,3.889087297
5/23/2017,14,38,3.88456434
5/5/2017,8,17,3.881580434
3/26/2017,4,70,3.881580434
10/29/2016,1,5,3.881580434
12/8/2016,3,4,3.876567783
7/17/2017,9,6,3.872983346
7/14/2017,1,6,3.862210075
7/10/2017,4,1,3.862210075
6/3/2017,4,3,3.862210075
9/9/2016,4,17,3.861991683
7/16/2017,22,2,3.829708431
2/6/2017,4,6,3.826715302
6/6/2017,3,17,3.824759846
6/1/2017,9,6,3.823486317
4/15/2017,9,20,3.823486317
8/1/2017,22,20,3.801913394
4/21/2017,9,6,3.800916955
2/7/2017,22,2,3.796928583
9/14/2016,3,17,3.796144661
5/7/2017,22,82,3.794733192
2/5/2017,4,2,3.785938897
2/7/2017,4,6,3.785938897
6/3/2017,7,17,3.785938897
7/15/2017,3,18,3.785938897
10/8/2016,1,50,3.785938897
6/13/2017,9,20,3.785938897
7/17/2017,3,82,3.785938897
6/30/2017,3,18,3.785938897
4/22/2017,9,22,3.785938897
7/18/2016,3,16,3.785938897
10/19/2016,1,14,3.785938897
8/23/2016,1,5,3.785938897
4/30/2017,9,22,3.785938897
10/15/2016,1,17,3.785938897
7/1/2017,15,38,3.781547302
5/15/2017,7,17,3.777124126
7/22/2017,8,6,3.774917218
4/22/2017,22,2,3.774917218
6/14/2017,4,2,3.768288736
11/2/2016,1,5,3.763863264
8/19/2016,4,41,3.76346069
3/1/2017,1,4,3.75277675
8/20/2017,22,7,3.741657387
3/22/2017,4,70,3.741657387
6/9/2017,22,82,3.736244613
11/14/2016,1,4,3.728908943
6/27/2017,3,6,3.728908943
5/23/2017,30,82,3.703280399
7/7/2017,22,48,3.696845502
4/12/2017,22,22,3.693462693
7/22/2017,3,17,3.692744729
8/16/2017,22,1,3.690399385
6/16/2016,3,9,3.685557398
1/17/2017,3,30,3.685557398
6/6/2017,22,46,3.685557398
7/27/2017,22,1,3.679091503
11/5/2016,3,2,3.678012748
3/23/2017,4,70,3.674234614
7/17/2017,3,17,3.674234614
6/5/2017,30,82,3.674234614
7/26/2017,22,9,3.669695719
7/27/2017,9,6,3.666666667
4/1/2017,9,6,3.663083649
4/30/2017,3,21,3.663083649
7/11/2017,3,17,3.662001694
7/11/2017,4,1,3.65756446
6/18/2017,9,82,3.656045222
7/13/2017,22,2,3.656045222
7/27/2017,3,6,3.654090989
11/13/2016,3,63,3.651483717
6/2/2017,14,38,3.647283979
3/4/2017,22,2,3.646916506
7/11/2017,22,2,3.64566991
2/8/2017,4,70,3.633180425
6/11/2017,4,2,3.627058802
7/1/2017,14,38,3.620666868
9/10/2016,1,17,3.618136135
7/18/2017,22,2,3.617089069
8/14/2017,9,17,3.616089382
2/24/2017,4,6,3.615168661
7/30/2017,3,17,3.605551275
5/11/2017,22,82,3.605551275
4/28/2017,1,6,3.605551275
7/25/2017,22,45,3.605551275
9/1/2016,3,6,3.605551275
6/7/2017,1,17,3.605551275
6/19/2017,15,38,3.605551275
3/11/2017,1,6,3.605551275
7/5/2017,4,1,3.603624718
5/27/2017,22,82,3.599623823
11/8/2016,1,2,3.598941643
7/21/2017,4,1,3.598941643
8/5/2017,3,2,3.598941643
3/19/2017,4,70,3.593976442
4/28/2017,1,22,3.591656999
8/27/2016,4,17,3.587858313
5/12/2017,8,22,3.577708764
5/6/2017,8,17,3.577708764
7/31/2017,9,6,3.577126407
7/12/2017,22,20,3.568768851
7/17/2017,22,9,3.563705936
7/8/2017,22,48,3.563705936
7/18/2017,63,20,3.559026084
5/27/2017,30,82,3.554766327
11/8/2016,3,17,3.552329886
7/6/2017,60,20,3.544949459
10/29/2016,3,2,3.544781543
11/2/2016,1,2,3.54310195
9/22/2016,1,14,3.535533906
5/13/2017,7,20,3.535533906
8/14/2017,1,6,3.535533906
5/27/2017,57,22,3.535533906
5/28/2017,22,9,3.535533906
5/21/2017,9,82,3.535533906
6/7/2017,8,20,3.535533906
5/17/2017,12,37,3.535533906
7/23/2017,22,45,3.535533906
12/6/2016,3,15,3.535533906
8/11/2017,22,50,3.535533906
8/11/2017,1,22,3.535533906
7/25/2017,4,6,3.535533906
10/1/2016,1,5,3.535533906
5/21/2017,9,77,3.535533906
12/9/2016,3,4,3.535533906
6/4/2017,30,32,3.535533906
5/23/2017,9,22,3.535533906
5/10/2017,9,5,3.535533906
6/10/2017,12,38,3.535533906
7/26/2017,22,45,3.535533906
10/7/2016,4,53,3.535533906
6/7/2017,3,82,3.535533906
8/14/2017,8,18,3.535533906
11/3/2016,1,9,3.535533906
5/25/2017,3,38,3.535533906
5/31/2017,22,9,3.535533906
6/12/2017,22,9,3.535533906
5/16/2017,9,5,3.535533906
8/11/2017,9,5,3.535533906
8/14/2017,3,14,3.535533906
5/24/2017,3,82,3.535533906
5/16/2017,12,37,3.535533906
11/21/2016,3,32,3.535533906
10/26/2016,1,2,3.535533906
11/1/2016,1,9,3.535533906
6/15/2017,9,24,3.535533906
7/22/2017,1,22,3.535533906
9/7/2016,3,6,3.535533906
5/9/2017,9,16,3.535533906
5/22/2017,8,77,3.535533906
5/12/2017,30,2,3.535533906
9/29/2016,3,2,3.535533906
6/3/2017,1,17,3.535533906
5/8/2017,30,32,3.535533906
7/1/2017,1,82,3.535533906
3/15/2017,9,20,3.535533906
7/9/2017,60,5,3.535533906
6/19/2017,22,82,3.535533906
1/12/2016,1,6,3.535533906
8/6/2016,1,39,3.535533906
2/7/2016,1,14,3.535533906
7/8/2017,3,42,3.535533906
8/1/2017,8,6,3.535533906
7/17/2017,60,5,3.535533906
8/15/2016,4,53,3.535533906
4/5/2017,4,1,3.535533906
3/7/2017,1,18,3.535533906
8/9/2017,8,6,3.535533906
12/29/2015,1,15,3.535533906
6/29/2017,3,6,3.535533906
6/28/2017,9,21,3.535533906
4/29/2017,8,17,3.535533906
6/23/2017,22,9,3.535533906
6/27/2017,8,21,3.535533906
